run_path,optimizer,step,parameter_name,tensor_type,parameter_shape,parameter_numel,state_family,state_component,state_numel,zero_fraction,log2_median,log2_p5,log2_p95,log2_p99,log2_min,log2_max,block_logrange_median,block_logrange_p95,block_logrange_max,n_valid_blocks,n_total_blocks,source_file
pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512,G0_adafactor_hf_x1.0_bs4_seq512,500,model.layers.14.self_attn.o_proj.weight,attn,2048x2048,4194304,second_moment,row,2048,0.0,-25.222795486450195,-25.70161247253418,-24.591346740722656,-24.25348663330078,-26.10270881652832,-23.845006942749023,2.257701873779297,2.257701873779297,2.257701873779297,1,1,pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512/step_500.pt
pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512,G0_adafactor_hf_x1.0_bs4_seq512,500,model.layers.14.self_attn.o_proj.weight,attn,2048x2048,4194304,second_moment,col,2048,0.0,-25.937950134277344,-28.143484115600586,-23.362680435180664,-22.459083557128906,-28.837554931640625,-22.22479820251465,6.612756729125977,6.612756729125977,6.612756729125977,1,1,pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512/step_500.pt
pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512,G0_adafactor_hf_x1.0_bs4_seq512,500,model.layers.14.mlp.gate_proj.weight,mlp,5632x2048,11534336,second_moment,row,5632,0.0,-28.4642276763916,-31.933460235595703,-25.190933227539062,-24.107202529907227,-34.38836669921875,-22.209341049194336,11.714666366577148,11.936274528503418,11.960897445678711,3,3,pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512/step_500.pt
pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512,G0_adafactor_hf_x1.0_bs4_seq512,500,model.layers.14.mlp.gate_proj.weight,mlp,5632x2048,11534336,second_moment,col,2048,0.0,-27.7957763671875,-29.426698684692383,-25.617761611938477,-25.018529891967773,-29.903873443603516,-24.36942481994629,5.534448623657227,5.534448623657227,5.534448623657227,1,1,pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512/step_500.pt
pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512,G0_adafactor_hf_x1.0_bs4_seq512,500,model.layers.14.mlp.up_proj.weight,mlp,5632x2048,11534336,second_moment,row,5632,0.0,-29.23130226135254,-30.456008911132812,-25.0581111907959,-23.88506507873535,-31.159366607666016,-22.166757583618164,8.572681427001953,8.950615882873535,8.992609024047852,3,3,pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512/step_500.pt
pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512,G0_adafactor_hf_x1.0_bs4_seq512,500,model.layers.14.mlp.up_proj.weight,mlp,5632x2048,11534336,second_moment,col,2048,0.0,-27.83687400817871,-29.478792190551758,-25.657180786132812,-25.058860778808594,-29.959169387817383,-24.40878677368164,5.550382614135742,5.550382614135742,5.550382614135742,1,1,pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512/step_500.pt
pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512,G0_adafactor_hf_x1.0_bs4_seq512,500,model.layers.14.mlp.down_proj.weight,mlp,2048x5632,11534336,second_moment,row,2048,0.0,-27.13438606262207,-27.586389541625977,-26.537185668945312,-26.18869972229004,-28.0023136138916,-25.827714920043945,2.1745986938476562,2.1745986938476562,2.1745986938476562,1,1,pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512/step_500.pt
pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512,G0_adafactor_hf_x1.0_bs4_seq512,500,model.layers.14.mlp.down_proj.weight,mlp,2048x5632,11534336,second_moment,col,5632,0.0,-29.35431480407715,-31.596038818359375,-25.028827667236328,-23.199649810791016,-32.75883865356445,-21.10210609436035,11.21885871887207,11.265090942382812,11.270227432250977,3,3,pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512/step_500.pt
pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512,G0_adafactor_hf_x1.0_bs4_seq512,500,model.layers.14.input_layernorm.weight,norm,2048,2048,second_moment,full,2048,0.0,-26.530784606933594,-28.679929733276367,-24.135793685913086,-23.255817413330078,-29.892412185668945,-22.43062400817871,7.461788177490234,7.461788177490234,7.461788177490234,1,1,pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512/step_500.pt
pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512,G0_adafactor_hf_x1.0_bs4_seq512,500,model.layers.14.post_attention_layernorm.weight,norm,2048,2048,second_moment,full,2048,0.0,-25.699989318847656,-27.35834503173828,-23.47211456298828,-22.78472328186035,-28.088376998901367,-22.139217376708984,5.949159622192383,5.949159622192383,5.949159622192383,1,1,pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512/step_500.pt
pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512,G0_adafactor_hf_x1.0_bs4_seq512,500,model.layers.15.self_attn.q_proj.weight,attn,2048x2048,4194304,second_moment,row,2048,0.0,-34.937835693359375,-35.9624137878418,-33.30058670043945,-32.80878448486328,-36.514122009277344,-31.78384017944336,4.730281829833984,4.730281829833984,4.730281829833984,1,1,pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512/step_500.pt
pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512,G0_adafactor_hf_x1.0_bs4_seq512,500,model.layers.15.self_attn.q_proj.weight,attn,2048x2048,4194304,second_moment,col,2048,0.0,-34.98983383178711,-36.022735595703125,-33.24777603149414,-32.671512603759766,-36.418540954589844,-32.112525939941406,4.3060150146484375,4.3060150146484375,4.3060150146484375,1,1,pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512/step_500.pt
pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512,G0_adafactor_hf_x1.0_bs4_seq512,500,model.layers.15.self_attn.k_proj.weight,attn,256x2048,524288,second_moment,row,256,0.0,-31.633220672607422,-32.72502899169922,-30.620607376098633,-30.423398971557617,-33.096588134765625,-30.196435928344727,2.9001522064208984,2.9001522064208984,2.9001522064208984,1,1,pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512/step_500.pt
pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512,G0_adafactor_hf_x1.0_bs4_seq512,500,model.layers.15.self_attn.k_proj.weight,attn,256x2048,524288,second_moment,col,2048,0.0,-31.791667938232422,-32.732547760009766,-30.47106170654297,-29.934062957763672,-33.1757698059082,-29.495105743408203,3.6806640625,3.6806640625,3.6806640625,1,1,pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512/step_500.pt
pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512,G0_adafactor_hf_x1.0_bs4_seq512,500,model.layers.15.self_attn.v_proj.weight,attn,256x2048,524288,second_moment,row,256,0.0,-22.575218200683594,-23.075477600097656,-21.91115951538086,-21.654470443725586,-23.275964736938477,-21.529464721679688,1.746500015258789,1.746500015258789,1.746500015258789,1,1,pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512/step_500.pt
pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512,G0_adafactor_hf_x1.0_bs4_seq512,500,model.layers.15.self_attn.v_proj.weight,attn,256x2048,524288,second_moment,col,2048,0.0,-23.167098999023438,-25.320018768310547,-20.843313217163086,-20.244447708129883,-26.179061889648438,-19.532960891723633,6.646100997924805,6.646100997924805,6.646100997924805,1,1,pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512/step_500.pt
pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512,G0_adafactor_hf_x1.0_bs4_seq512,500,model.layers.15.self_attn.o_proj.weight,attn,2048x2048,4194304,second_moment,row,2048,0.0,-25.249181747436523,-25.741798400878906,-24.602378845214844,-24.27960968017578,-26.18320655822754,-23.7901668548584,2.3930397033691406,2.3930397033691406,2.3930397033691406,1,1,pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512/step_500.pt
